preco,manutencao,portas,pessoas,bagageiro,seguranca,aceitabilidade
muitoalto,muitoalto,2,2,pequeno,baixa,inaceitavel
muitoalto,muitoalto,2,2,pequeno,media,inaceitavel
muitoalto,muitoalto,2,2,pequeno,alta,inaceitavel
muitoalto,muitoalto,2,2,medio,baixa,inaceitavel
muitoalto,muitoalto,2,2,medio,media,inaceitavel
muitoalto,muitoalto,2,2,medio,alta,inaceitavel
muitoalto,muitoalto,2,2,grande,baixa,inaceitavel
muitoalto,muitoalto,2,2,grande,media,inaceitavel
muitoalto,muitoalto,2,2,grande,alta,inaceitavel
muitoalto,muitoalto,2,4,pequeno,baixa,inaceitavel
muitoalto,muitoalto,2,4,pequeno,media,inaceitavel
muitoalto,muitoalto,2,4,pequeno,alta,inaceitavel
muitoalto,muitoalto,2,4,medio,baixa,inaceitavel
muitoalto,muitoalto,2,4,medio,media,inaceitavel
muitoalto,muitoalto,2,4,medio,alta,inaceitavel
muitoalto,muitoalto,2,4,grande,baixa,inaceitavel
muitoalto,muitoalto,2,4,grande,media,inaceitavel
muitoalto,muitoalto,2,4,grande,alta,inaceitavel
muitoalto,muitoalto,2,5mais,pequeno,baixa,inaceitavel
muitoalto,muitoalto,2,5mais,pequeno,media,inaceitavel
muitoalto,muitoalto,2,5mais,pequeno,alta,inaceitavel
muitoalto,muitoalto,2,5mais,medio,baixa,inaceitavel
muitoalto,muitoalto,2,5mais,medio,media,inaceitavel
muitoalto,muitoalto,2,5mais,medio,alta,inaceitavel
muitoalto,muitoalto,2,5mais,grande,baixa,inaceitavel
muitoalto,muitoalto,2,5mais,grande,media,inaceitavel
muitoalto,muitoalto,2,5mais,grande,alta,inaceitavel
muitoalto,muitoalto,3,2,pequeno,baixa,inaceitavel
muitoalto,muitoalto,3,2,pequeno,media,inaceitavel
muitoalto,muitoalto,3,2,pequeno,alta,inaceitavel
muitoalto,muitoalto,3,2,medio,baixa,inaceitavel
muitoalto,muitoalto,3,2,medio,media,inaceitavel
muitoalto,muitoalto,3,2,medio,alta,inaceitavel
muitoalto,muitoalto,3,2,grande,baixa,inaceitavel
muitoalto,muitoalto,3,2,grande,media,inaceitavel
muitoalto,muitoalto,3,2,grande,alta,inaceitavel
muitoalto,muitoalto,3,4,pequeno,baixa,inaceitavel
muitoalto,muitoalto,3,4,pequeno,media,inaceitavel
